Song Name,Streams,Artist,Artist Followers,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
B.S. (feat. H.E.R.),4557817,Jhené Aiko,4720858.0,2020-03-06,72.0,0.617,0.525,-10.426,0.12,0.554,0.135,135.781,212867.0,0.377
Soliá,4516243,Bad Bunny,36177712.0,2020-02-29,72.0,0.71,0.81,-5.507,0.0854,0.117,0.154,92.041,159282.0,0.184
Está Cabrón Ser Yo,4438261,"Bad Bunny, Anuel AA",36177712.0,2020-02-29,69.0,0.81,0.854,-3.999,0.254,0.0732,0.123,154.083,227939.0,0.879
Bean (Kobe) [feat. Chief Keef],9039518,Lil Uzi Vert,11821805.0,2020-03-13,67.0,0.733,0.567,-6.718,0.319,0.0129,0.382,75.491,238816.0,0.319
Yessirskiii,8374259,"Lil Uzi Vert, 21 Savage",11821805.0,2020-03-13,70.0,0.895,0.739,-6.633,0.283,0.0183,0.102,140.007,219340.0,0.763
Cardigan,6586204,Don Toliver,1606884.0,2020-03-13,70.0,0.747,0.497,-6.542,0.0401,0.248,0.138,142.046,158709.0,0.0663
Silly Watch,6442451,Lil Uzi Vert,11821805.0,2020-03-06,65.0,0.903,0.535,-6.238,0.286,0.0298,0.0851,130.117,195692.0,0.157
Hablamos Mañana,6105711,"Bad Bunny, Duki, Pablo Chill-E",36177712.0,2020-02-29,69.0,0.683,0.677,-4.496,0.0469,0.0869,0.0998,156.019,240253.0,0.514
Lotus,6017103,Lil Uzi Vert,11821805.0,2020-03-13,58.0,0.802,0.748,-5.708,0.207,0.24,0.165,150.063,193861.0,0.516
Lettre à une femme,5895243,Ninho,4764552.0,2020-03-07,54.0,0.487,0.398,-9.901,0.0697,0.835,0.12,149.367,157766.0,0.905
Que Malo,5544180,"Bad Bunny, Ñengo Flow",36177712.0,2020-02-29,69.0,0.802,0.787,-6.181,0.0599,0.0832,0.153,94.026,167975.0,0.446
Leaders (feat. NAV),5496780,Lil Uzi Vert,11821805.0,2020-03-13,60.0,0.95,0.654,-5.895,0.307,0.0744,0.138,132.936,194844.0,0.886
Strawberry Peels (feat. Young Thug & Gunna),5468083,Lil Uzi Vert,11821805.0,2020-03-13,59.0,0.862,0.65,-6.978,0.355,0.0207,0.568,131.194,115350.0,0.658
La Zona,5440382,Bad Bunny,36177712.0,2020-02-29,69.0,0.762,0.801,-3.661,0.0409,0.2,0.254,93.992,136893.0,0.81
Wassup (feat. Future),5415044,Lil Uzi Vert,11821805.0,2020-03-13,57.0,0.762,0.622,-6.293,0.223,0.352,0.145,130.019,193314.0,0.626
Una Vez,5411302,"Bad Bunny, Mora",36177712.0,2020-02-29,77.0,0.55,0.598,-5.402,0.0831,0.132,0.0955,83.836,232496.0,0.543
Moon Relate,5324545,Lil Uzi Vert,11821805.0,2020-03-13,58.0,0.867,0.768,-3.73,0.0791,0.18,0.254,102.021,181826.0,0.34
Black And White,5204120,Niall Horan,7564659.0,2020-03-13,75.0,0.443,0.582,-6.02,0.0482,0.0301,0.127,147.589,193090.0,0.239
The Other Side (from Trolls World Tour),5193927,"SZA, Justin Timberlake",5888533.0,2020-02-26,68.0,0.76,0.607,-6.274,0.0964,0.00277,0.132,105.979,188187.0,0.709
Whine Up,5130783,"Nicky Jam, Anuel AA",14831925.0,2019-11-01,70.0,0.817,0.665,-6.224,0.0758,0.0549,0.103,104.957,215460.0,0.662
Ayy Macarena,5046905,Tyga,6298789.0,2019-11-13,74.0,0.816,0.629,-5.568,0.226,0.133,0.0692,96.493,131607.0,0.714
Trap This Way (This Way),5043990,Lil Uzi Vert,11821805.0,2020-03-13,59.0,0.71,0.586,-5.331,0.381,0.248,0.193,175.987,185439.0,0.207
Who (feat. BTS),5004752,Lauv,4442273.0,2020-03-06,74.0,0.632,0.345,-8.0,0.0349,0.551,0.104,141.641,180413.0,0.0818
Homecoming,4988839,Lil Uzi Vert,11821805.0,2020-03-06,63.0,0.929,0.563,-7.428,0.49,0.000592,0.244,129.957,213885.0,0.353
Got The Guap (feat. Young Thug),4946997,Lil Uzi Vert,11821805.0,2020-03-13,58.0,0.837,0.601,-5.628,0.198,0.21,0.0928,142.977,176756.0,0.749
Prices,4898167,Lil Uzi Vert,11821805.0,2020-03-06,65.0,0.786,0.683,-5.397,0.205,0.173,0.706,126.002,233333.0,0.57
I Can Show You,4831405,Lil Uzi Vert,11821805.0,2020-03-13,57.0,0.817,0.656,-7.086,0.277,0.051,0.115,139.915,120076.0,0.314
I'm Sorry,4818039,Lil Uzi Vert,11821805.0,2020-03-06,60.0,0.858,0.547,-5.822,0.29,0.213,0.104,128.02,211883.0,0.303
Black Swan,4802069,BTS,37151476.0,2020-02-21,70.0,0.719,0.758,-5.167,0.0851,0.137,0.129,147.023,198261.0,0.49
Bad Child,4787180,Tones And I,1251372.0,2021-08-13,0.0,0.756,0.553,-4.24,0.0343,0.404,0.158,117.992,221467.0,0.597
Adicto (with Anuel AA & Ozuna),4785720,Tainy,509411.0,2019-08-22,75.0,0.734,0.836,-4.803,0.0735,0.017,0.179,80.002,270741.0,0.623
<3,4755477,Bad Bunny,36177712.0,2020-02-29,69.0,0.631,0.665,-7.589,0.229,0.602,0.152,80.353,157967.0,0.634
"Bad Girls, Good Vibes",4752181,Ufo361,1700759.0,2020-03-13,53.0,0.826,0.368,-12.761,0.133,0.516,0.0914,127.977,107446.0,0.158
Liberdade Provisória - Ao Vivo,4730891,Henrique & Juliano,13312073.0,2020-01-31,58.0,0.668,0.684,-5.937,0.0527,0.627,0.923,108.138,187986.0,0.7
POP,10484727,Lil Uzi Vert,11821805.0,2020-03-06,58.0,0.741,0.599,-6.672,0.419,0.00961,0.785,139.891,227474.0,0.276
Celebration Station,10396969,Lil Uzi Vert,11821805.0,2020-03-06,61.0,0.748,0.771,-4.156,0.15,0.101,0.135,142.086,195058.0,0.792
Bigger Than Life,9974143,Lil Uzi Vert,11821805.0,2020-03-06,62.0,0.776,0.752,-4.711,0.193,0.325,0.33,140.013,192705.0,0.716
Venetia,9824605,Lil Uzi Vert,11821805.0,2020-03-06,63.0,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,188800.0,0.562
You Better Move,9533898,Lil Uzi Vert,11821805.0,2020-03-06,60.0,0.842,0.556,-6.793,0.442,0.159,0.204,118.836,196639.0,0.306
Chrome Heart Tags,8219307,Lil Uzi Vert,11821805.0,2020-03-06,57.0,0.702,0.768,-4.055,0.0669,0.541,0.105,70.056,212821.0,0.574
Bust Me,7828045,Lil Uzi Vert,11821805.0,2020-03-06,57.0,0.734,0.703,-6.256,0.355,0.237,0.413,151.923,194452.0,0.608
René,7240117,Residente,878491.0,2020-02-27,65.0,0.486,0.388,-9.326,0.126,0.435,0.196,90.471,457592.0,0.467
Secure The Bag,7053947,Lil Uzi Vert,11821805.0,2020-03-06,57.0,0.803,0.719,-4.485,0.392,0.344,0.425,129.945,238425.0,0.549
Urgency (feat. Syd),6224412,Lil Uzi Vert,11821805.0,2020-03-06,53.0,0.619,0.784,-6.11,0.123,0.0326,0.315,156.035,181161.0,0.471
ON (Feat. Sia),6219276,BTS,37151476.0,2020-02-21,64.0,0.591,0.848,-4.397,0.0828,0.137,0.372,105.922,246816.0,0.386
P FKN R,6041127,"Bad Bunny, Kendo Kaponi, Arcangel",36177712.0,2020-02-29,66.0,0.82,0.635,-5.749,0.0772,0.409,0.244,101.024,258280.0,0.528
Modern Loneliness,6020508,Lauv,4442273.0,2020-03-06,68.0,0.702,0.508,-7.105,0.035,0.144,0.108,82.008,252337.0,0.143
Heatin Up (feat. Gunna),6004839,Lil Baby,7816213.0,2020-02-28,66.0,0.788,0.436,-9.435,0.364,0.0611,0.0979,129.847,177314.0,0.341
SKYBOX,5846484,Gunna,3337982.0,2020-03-06,59.0,0.779,0.707,-6.527,0.16,0.0991,0.0934,140.894,178097.0,0.343
Young & Alive,5578323,Bazzi,4421378.0,2020-03-05,71.0,0.716,0.563,-5.486,0.0425,0.326,0.119,86.005,160465.0,0.495
i'm so tired...,5547770,"Lauv, Troye Sivan",4442273.0,2020-03-06,77.0,0.599,0.733,-7.058,0.203,0.176,0.242,102.211,162583.0,0.534
"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",5487069,A Boogie Wit da Hoodie,5865895.0,2020-02-14,68.0,0.819,0.654,-6.665,0.136,0.517,0.0996,133.503,188563.0,0.455
Girl,5434180,Myke Towers,6161098.0,2020-01-24,72.0,0.733,0.708,-4.957,0.0937,0.0325,0.324,93.021,186427.0,0.694
Puesto Pa' Guerrial,5359969,"Bad Bunny, Myke Towers",36177712.0,2020-02-29,64.0,0.867,0.686,-5.342,0.221,0.311,0.1,139.968,190207.0,0.658
Definitivamente,5325447,"Daddy Yankee, Sech",23936368.0,2020-01-31,66.0,0.813,0.764,-3.39,0.105,0.586,0.253,100.047,217773.0,0.429
South of the Border (feat. Camila Cabello & Cardi B),5315827,Ed Sheeran,83337783.0,2019-07-12,77.0,0.857,0.621,-6.376,0.0825,0.148,0.0865,97.989,204467.0,0.668
I Fall Apart,5251918,Post Malone,33663701.0,2016-12-09,80.0,0.556,0.538,-5.408,0.0382,0.0689,0.196,143.95,223347.0,0.291
"fuck, i'm lonely (with Anne-Marie)",5226991,Lauv,4442273.0,2020-03-06,74.0,0.806,0.558,-6.46,0.0683,0.482,0.0618,95.016,198973.0,0.678
Aventura,5206102,"Lunay, Ozuna, Anuel AA",4963516.0,2019-10-25,68.0,0.729,0.726,-3.208,0.0422,0.223,0.101,92.025,217130.0,0.876
Rare,5195842,Selena Gomez,28931149.0,2020-01-10,68.0,0.838,0.545,-6.713,0.0706,0.208,0.103,114.998,220590.0,0.631
VIBEZ,5121486,DaBaby,7601122.0,2019-09-27,75.0,0.768,0.652,-2.708,0.307,0.113,0.107,154.187,144935.0,0.777
