Song Name,Streams,Artist,Artist Followers,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Beggin',48633449,Måneskin,3377762.0,2017-12-08,100.0,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560.0,0.589
STAY (with Justin Bieber),47248719,The Kid LAROI,2230022.0,2021-07-09,99.0,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806.0,0.478
good 4 u,40162559,Olivia Rodrigo,6266514.0,2021-05-21,99.0,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147.0,0.688
Bad Habits,37799456,Ed Sheeran,83293380.0,2021-06-25,98.0,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041.0,0.591
INDUSTRY BABY (feat. Jack Harlow),33948454,Lil Nas X,5473565.0,2021-07-23,96.0,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000.0,0.894
MONTERO (Call Me By Your Name),30071134,Lil Nas X,5473565.0,2021-03-31,97.0,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876.0,0.758
Kiss Me More (feat. SZA),29356736,Doja Cat,8640063.0,2021-04-09,94.0,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867.0,0.742
Todo De Ti,26951613,Rauw Alejandro,6080597.0,2021-05-20,95.0,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604.0,0.342
Yonaguni,25030128,Bad Bunny,36142273.0,2021-06-04,96.0,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710.0,0.44
I WANNA BE YOUR SLAVE,24551591,Måneskin,3377762.0,2021-03-19,95.0,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347.0,0.958
Levitating (feat. DaBaby),23518010,Dua Lipa,27142474.0,2020-10-01,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915
Qué Más Pues?,22405111,"J Balvin, Maria Becerra",29051363.0,2021-05-28,95.0,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773.0,0.768
Permission to Dance,22062812,BTS,37106176.0,2021-07-09,95.0,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585.0,0.646
Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126.0,2021-03-19,94.0,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082.0,0.464
Butter,19985713,BTS,37106176.0,2021-06-04,95.0,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442.0,0.695
traitor,19480679,Olivia Rodrigo,6266514.0,2021-05-21,94.0,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227.0,0.0849
deja vu,18571755,Olivia Rodrigo,6266514.0,2021-05-21,93.0,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507.0,0.178
Save Your Tears (with Ariana Grande) (Remix),18053141,The Weeknd,35305637.0,2021-04-23,94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593
AM Remix,17617965,"Nio Garcia, J Balvin, Bad Bunny",2123734.0,2021-06-24,93.0,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335.0,0.785
Need To Know,16908917,Doja Cat,8640063.0,2021-06-25,90.0,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560.0,0.194
Volando - Remix,16606925,"Mora, Bad Bunny, Sech",151486.0,2021-07-08,91.0,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474.0,0.632
Ain't Shit,16126897,Doja Cat,8640063.0,2021-06-25,90.0,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253.0,0.619
drivers license,15684978,Olivia Rodrigo,6266514.0,2021-05-21,92.0,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013.0,0.137
Heat Waves,15089184,Glass Animals,1890510.0,2020-08-07,85.0,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805.0,0.531
Blinding Lights,15011809,The Weeknd,35305637.0,2020-03-20,92.0,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040.0,0.334
happier,14849078,Olivia Rodrigo,6266514.0,2021-05-21,92.0,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933.0,0.338
Pepas,14809458,Farruko,10502148.0,2021-06-24,92.0,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120.0,0.442
Motley Crew,14329162,Post Malone,33651775.0,2021-07-09,90.0,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213.0,0.288
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,14273637,"Riton, Nightcrawlers",83689.0,2021-01-15,92.0,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153.0,0.801
Astronaut In The Ocean,14174752,Masked Wolf,365975.0,2021-01-06,89.0,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780.0,0.472
Leave The Door Open,13963568,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754.0,2021-03-05,92.0,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,242096.0,0.719
Don't Go Yet,13205250,Camila Cabello,22683756.0,2021-07-23,88.0,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,164842.0,0.61
favorite crime,12818935,Olivia Rodrigo,6266514.0,2021-05-21,91.0,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,152667.0,0.218
Pareja Del Año,12572307,"Sebastian Yatra, Myke Towers",16216789.0,2021-04-16,91.0,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,195053.0,0.808
Watermelon Sugar,11996689,Harry Styles,16112621.0,2019-12-13,90.0,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000.0,0.557
NOT SOBER (feat. Polo G & Stunna Gambino),11869336,The Kid LAROI,,,,,,,,,,,,
RAPSTAR,11683383,Polo G,4840346.0,2021-04-09,89.0,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926.0,0.437
You Right,11629418,"Doja Cat, The Weeknd",8640063.0,2021-06-25,89.0,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173.0,0.436
911 - Remix,11553846,"Sech, Jhay Cortez",8758283.0,2021-07-09,89.0,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631.0,0.784
DÁKITI,11524288,"Bad Bunny, Jhay Cortez",36142273.0,2020-11-27,86.0,0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,205090.0,0.145
Miénteme,11477024,"TINI, Maria Becerra",2936204.0,2021-04-29,90.0,0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,165275.0,0.916
"jealousy, jealousy",11287301,Olivia Rodrigo,6266514.0,2021-05-21,90.0,0.695,0.575,-6.334,0.116,0.198,0.0614,163.929,173160.0,0.699
Poblado - Remix,11283626,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",29051363.0,2021-06-18,89.0,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,393280.0,0.646
Dynamite,11196819,BTS,37106176.0,2020-11-20,89.0,0.746,0.765,-4.41,0.0993,0.0112,0.0936,114.044,199054.0,0.737
The Business,10739770,Tiësto,5785065.0,2020-09-16,90.0,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000.0,0.235
Heartbreak Anthem (with David Guetta & Little Mix),10315460,Galantis,3120157.0,2021-05-20,89.0,0.595,0.784,-4.878,0.102,0.216,0.0608,124.111,183726.0,0.479
Mood (feat. iann dior),10222056,24kGoldn,1274433.0,2021-03-26,89.0,0.701,0.716,-3.671,0.0361,0.174,0.324,91.007,140533.0,0.732
Entre Nosotros,10215216,"Tiago PZK, LIT killah",375865.0,2021-07-08,89.0,0.729,0.513,-6.345,0.0455,0.494,0.137,170.064,192353.0,0.789
Fiel - Remix,10032746,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075.0,2021-06-15,89.0,0.839,0.711,-4.733,0.0473,0.398,0.118,97.99,349547.0,0.573
Build a Bitch,9841998,Bella Poarch,389076.0,2021-05-14,89.0,0.855,0.463,-7.454,0.0367,0.217,0.347,102.931,122773.0,0.866
"Nicky Jam: Bzrp Music Sessions, Vol. 41",9799701,"Bizarrap, Nicky Jam",3126961.0,2021-06-30,88.0,0.627,0.849,-3.167,0.153,0.0913,0.145,89.907,158087.0,0.818
Tiroteo - Remix,9781153,"Marc Seguí, Rauw Alejandro, Pol Granch",45362.0,2021-04-01,88.0,0.75,0.522,-7.018,0.0293,0.282,0.0743,110.427,321556.0,0.601
NDA,9635619,Billie Eilish,47014200.0,2021-07-30,84.0,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,195777.0,0.554
Rasputin,9600707,"Majestic, Boney M.",32178.0,2021-06-25,49.0,0.83,0.839,-6.985,0.0699,0.00201,0.0353,128.012,345543.0,0.59
Leave Before You Love Me (with Jonas Brothers),9428494,Marshmello,31541310.0,2021-05-21,89.0,0.721,0.738,-4.77,0.0403,0.00226,0.118,119.976,154983.0,0.637
Freaks,9319465,Surf Curse,495226.0,2021-05-15,89.0,0.345,0.941,-9.918,0.0466,3.84e-05,0.0511,179.626,147062.0,0.407
Meu Pedaço de Pecado,9206366,João Gomes,409173.0,2021-06-01,83.0,0.668,0.887,-4.404,0.0564,0.369,0.257,151.92,157176.0,0.907
2/Catorce,9086979,"Rauw Alejandro, Mr. Naisgai",6080597.0,2021-02-14,87.0,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,212032.0,0.432
Beautiful Mistakes (feat. Megan Thee Stallion),9048966,Maroon 5,32262679.0,2021-06-11,88.0,0.713,0.676,-5.483,0.027,0.0377,0.154,99.048,227395.0,0.721
Run,9017356,OneRepublic,12169108.0,2021-05-05,88.0,0.682,0.72,-8.173,0.0381,0.326,0.148,117.003,169011.0,0.673
Thot Shit,8977336,Megan Thee Stallion,4787261.0,2021-06-11,88.0,0.95,0.693,-3.424,0.0898,0.0133,0.173,130.02,184635.0,0.891
Your Love (9PM),8935418,"ATB, Topic, A7S",291777.0,2021-01-15,88.0,0.669,0.784,-5.603,0.112,0.194,0.115,125.993,150053.0,0.517
brutal,8881356,Olivia Rodrigo,6266514.0,2021-05-21,89.0,0.672,0.526,-6.446,0.0599,0.0311,0.28,123.999,143747.0,0.28
Save Your Tears,8843110,The Weeknd,35305637.0,2021-04-23,94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593
Heartbreak Anniversary,8832945,Giveon,1398563.0,2020-03-27,87.0,0.449,0.465,-8.964,0.0791,0.524,0.303,89.087,198371.0,0.543
Don't Start Now,8821971,Dua Lipa,1250353.0,2021-08-13,0.0,0.793,0.793,-4.521,0.083,0.0123,0.0951,123.95,183290.0,0.679
Dinero,8564775,Trinidad Cardona,116817.0,2018-02-02,87.0,0.708,0.782,-4.687,0.0674,0.00772,0.107,119.997,160880.0,0.484
Sweater Weather,8564017,The Neighbourhood,6662605.0,2013-04-19,87.0,0.612,0.807,-2.81,0.0336,0.0495,0.101,124.053,240400.0,0.398
Sobrio,8514480,Maluma,26769304.0,2021-07-08,87.0,0.762,0.77,-2.758,0.223,0.138,0.15,177.998,201181.0,0.631
Someone You Loved,8490162,Lewis Capaldi,8384096.0,2019-05-17,86.0,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891,182161.0,0.446
Over The Top (feat. Drake),8269753,Smiley,26131.0,2021-07-23,83.0,0.833,0.498,-5.196,0.117,0.0493,0.119,139.928,153406.0,0.259
2055,8133401,Sleepy Hallow,408696.0,2021-06-02,85.0,0.829,0.512,-5.865,0.187,0.492,0.12,80.511,123987.0,0.638
EL MAKINON,8102107,"KAROL G, Mariah Angeliq",17775316.0,2021-03-26,87.0,0.635,0.706,-3.224,0.125,0.256,0.108,88.863,209160.0,0.443
Loco,8093413,"Justin Quiles, Chimbala, Zion & Lennox",2895789.0,2021-05-13,87.0,0.77,0.899,-2.981,0.0494,0.222,0.0894,128.05,231604.0,0.851
Love Tonight - Edit,8006336,Shouse,27116.0,2017-12-14,87.0,0.727,0.681,-7.114,0.0265,0.00214,0.0861,123.028,241970.0,0.448
ZITTI E BUONI,7975148,Måneskin,3377762.0,2021-03-19,86.0,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,194787.0,0.644
telepatía,7912399,Kali Uchis,1999954.0,2020-12-04,88.0,0.653,0.524,-9.016,0.0502,0.112,0.203,83.97,160191.0,0.553
Botella Tras Botella,7735223,"Gera MX, Christian Nodal",2043294.0,2021-04-23,87.0,0.727,0.546,-4.572,0.0437,0.656,0.122,106.891,197333.0,0.69
Fiel,7717211,"Los Legendarios, Wisin, Jhay Cortez",31488.0,2021-02-04,88.0,0.849,0.701,-4.407,0.06,0.407,0.112,98.005,261667.0,0.505
Dance Monkey,7687058,Tones And I,2819593.0,2019-10-17,83.0,0.824,0.588,-6.4,0.0924,0.692,0.149,98.027,209438.0,0.513
WITHOUT YOU,7642130,The Kid LAROI,2230022.0,2020-11-06,87.0,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,161385.0,0.467
Wants and Needs (feat. Lil Baby),7637626,Drake,56308172.0,2021-03-05,87.0,0.578,0.449,-6.349,0.286,0.0618,0.119,136.006,192956.0,0.1
Bezos I,7516291,Bo Burnham,1042079.0,2021-06-10,84.0,0.694,0.948,-5.307,0.0361,0.00936,0.139,115.044,58149.0,0.705
Love Again,7465445,Dua Lipa,1250353.0,2021-08-13,0.0,0.659,0.667,-4.668,0.0339,0.00173,0.1,115.982,258004.0,0.468
Goosebumps - Remix,7452633,"Travis Scott, HVME",17719446.0,2021-01-15,87.0,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803.0,0.808
Head & Heart (feat. MNEK),7434252,Joel Corry,207547.0,2020-07-03,87.0,0.734,0.874,-3.158,0.0662,0.168,0.0489,122.953,166028.0,0.905
BED,7383369,"Joel Corry, RAYE, David Guetta",207547.0,2021-02-26,87.0,0.671,0.782,-4.593,0.0341,0.0142,0.333,123.989,178088.0,0.618
Iko Iko (My Bestie),7381585,"Justin Wellington, Small Jam",18228.0,2019-06-03,87.0,0.862,0.753,-5.356,0.0625,0.131,0.077,105.039,182857.0,0.827
Better Believe,7365053,"Belly, The Weeknd, Young Thug",203972.0,2021-07-22,80.0,0.797,0.573,-7.85,0.319,0.159,0.144,124.995,206629.0,0.445
Arcade,7353795,Duncan Laurence,287361.0,2019-03-07,84.0,0.45,0.329,-12.603,0.0441,0.818,0.135,71.884,183624.0,0.266
512,7336542,"Mora, Jhay Cortez",151486.0,2021-02-05,87.0,0.818,0.673,-7.542,0.148,0.348,0.172,87.961,193636.0,0.695
positions,7244853,Ariana Grande,67158068.0,2020-10-30,86.0,0.737,0.802,-4.771,0.0878,0.468,0.0931,144.015,172325.0,0.682
Circles,7156162,Post Malone,33651775.0,2019-09-06,87.0,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042,215280.0,0.553
Blaues Licht,7084292,"RAF Camora, Bonez MC",1329531.0,2021-07-16,78.0,0.819,0.835,-4.899,0.102,0.398,0.252,144.955,144264.0,0.703
Ram Pam Pam,7064003,"Natti Natasha, Becky G",6341942.0,2021-04-20,86.0,0.908,0.813,-2.749,0.0777,0.305,0.278,97.018,200785.0,0.924
In Da Getto,6984262,"J Balvin, Skrillex",1250353.0,2021-08-12,2.0,0.915,0.72,-3.126,0.0459,0.025,0.0942,126.986,131067.0,0.631
Woman,6858466,Doja Cat,8640063.0,2021-06-25,86.0,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,172627.0,0.881
t r a n s p a r e n t s o u l feat. Travis Barker,6853994,WILLOW,1521837.0,2021-04-27,85.0,0.39,0.83,-5.201,0.0563,0.0021,0.156,90.021,168030.0,0.191
Clash (feat. Stormzy),6825463,Dave,1427540.0,2021-07-08,79.0,0.871,0.519,-6.549,0.258,0.313,0.0869,140.013,251733.0,0.532
Before You Go,6813800,Lewis Capaldi,8384096.0,2019-11-22,83.0,0.459,0.575,-4.858,0.0573,0.604,0.0885,111.881,215107.0,0.183
Levitating,6799831,Dua Lipa,27142474.0,2020-10-01,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915
Reckless,6711375,Madison Beer,3363988.0,2021-06-04,86.0,0.386,0.426,-6.642,0.0363,0.807,0.14,180.104,203385.0,0.261
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",6709106,BANDIDO,16074.0,2021-06-16,85.0,0.769,0.812,-2.088,0.0825,0.281,0.0781,180.003,280274.0,0.926
Believer,6699895,Imagine Dragons,35285425.0,2017-06-23,86.0,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,204347.0,0.666
"Lemonade (feat. Gunna, Don Toliver & NAV)",6697067,Internet Money,411579.0,2020-08-14,82.0,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,195429.0,0.471
Talking to the Moon,6660319,Bruno Mars,32574754.0,2010-10-05,83.0,0.523,0.606,-4.754,0.0301,0.512,0.106,145.837,217867.0,0.065
Roses - Imanbek Remix,6653690,SAINt JHN,742692.0,2020-11-20,72.0,0.769,0.719,-5.472,0.0474,0.0143,0.359,121.955,176867.0,0.863
Sal y Perrea,6635076,Sech,8758283.0,2021-04-15,86.0,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,216510.0,0.813
Fulanito,6614072,"Becky G, El Alfa",10356559.0,2021-06-03,86.0,0.93,0.837,-4.632,0.187,0.256,0.239,111.898,158532.0,0.821
París,6584896,Ingratax,56699.0,2021-07-09,86.0,0.57,0.455,-5.748,0.0996,0.441,0.0654,167.933,151429.0,0.399
lovely (with Khalid),6569547,Billie Eilish,47014200.0,2018-04-19,86.0,0.351,0.296,-10.109,0.0333,0.934,0.095,115.284,200186.0,0.12
Sunflower - Spider-Man: Into the Spider-Verse,6546948,"Post Malone, Swae Lee",1250353.0,2018-12-14,82.0,0.76,0.479,-5.574,0.0466,0.556,0.0703,89.911,158040.0,0.913
double take,6539852,dhruv,73211.0,2019-05-24,86.0,0.663,0.434,-11.177,0.0648,0.828,0.249,109.075,171743.0,0.225
Streets,6502302,Doja Cat,8640063.0,2019-11-07,86.0,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,226987.0,0.189
By Your Side (feat. Tom Grennan),6488622,Calvin Harris,21942793.0,2021-06-04,85.0,0.733,0.96,-3.597,0.0295,0.0514,0.287,124.01,189672.0,0.811
MORENA,6469500,Luan Santana,5420471.0,2021-06-17,85.0,0.526,0.731,-4.662,0.0887,0.18,0.0891,86.959,193221.0,0.476
Shape of You,6452492,Ed Sheeran,83293380.0,2017-03-03,85.0,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977,233713.0,0.931
Señorita,6317487,"Shawn Mendes, Camila Cabello",33879560.0,2019-06-21,82.0,0.759,0.54,-6.039,0.0287,0.037,0.0945,116.947,190960.0,0.75
Hold On,6300416,Justin Bieber,1250353.0,2021-08-13,0.0,0.658,0.634,-5.797,0.0413,0.0106,0.132,139.98,170813.0,0.29
Perfect,6278765,Ed Sheeran,83293380.0,2017-03-03,86.0,0.599,0.448,-6.312,0.0232,0.163,0.106,95.05,263400.0,0.168
2:50 Remix,6244011,"MYA, TINI, Duki",282045.0,2021-06-21,85.0,0.818,0.812,-4.425,0.0475,0.112,0.234,139.966,231708.0,0.844
LA NOCHE DE ANOCHE,6242863,"Bad Bunny, ROSALÍA",36142273.0,2020-11-27,86.0,0.856,0.618,-4.892,0.286,0.0303,0.0866,81.993,203201.0,0.391
ROCKSTAR (feat. Roddy Ricch),6180056,DaBaby,7593046.0,2020-04-17,86.0,0.746,0.69,-7.956,0.164,0.247,0.101,89.977,181733.0,0.497
Heather,6164795,Conan Gray,3794081.0,2020-03-20,86.0,0.357,0.425,-7.301,0.0333,0.584,0.322,102.078,198040.0,0.27
you broke me first,6152121,Tate McRae,1647262.0,2020-04-17,86.0,0.667,0.373,-9.389,0.05,0.785,0.0906,124.148,169266.0,0.0823
The Nights,6136340,Avicii,20270895.0,2014-01-01,85.0,0.527,0.835,-5.298,0.0433,0.0166,0.249,125.983,176658.0,0.654
Riptide,6089242,Vance Joy,2421254.0,2014-09-09,78.0,0.484,0.731,-6.694,0.0379,0.431,0.151,101.654,204280.0,0.51
Smells Like Teen Spirit,6065267,Nirvana,13261089.0,1991-09-26,77.0,0.502,0.912,-4.556,0.0564,2.55e-05,0.106,116.761,301920.0,0.72
enough for you,6040918,Olivia Rodrigo,6266514.0,2021-05-21,86.0,0.638,0.259,-10.706,0.0898,0.753,0.219,88.485,202827.0,0.269
Daddy Issues,6014443,The Neighbourhood,6662605.0,2015-10-30,85.0,0.588,0.521,-9.461,0.0329,0.0678,0.123,85.012,260173.0,0.337
Aquelas Coisas,6012839,João Gomes,409173.0,2021-06-01,84.0,0.682,0.873,-4.163,0.0449,0.402,0.0946,150.006,147072.0,0.964
Miss The Rage (feat. Playboi Carti),5952490,Trippie Redd,6430522.0,2021-05-07,85.0,0.584,0.859,-5.616,0.121,0.0144,0.847,77.005,236883.0,0.369
Memories,5928329,Maroon 5,32262679.0,2021-06-11,85.0,0.775,0.327,-7.241,0.0557,0.841,0.0821,91.05,189486.0,0.595
Another Love,5914661,Tom Odell,1838616.0,2013-09-17,67.0,0.445,0.537,-8.532,0.04,0.695,0.0941,122.764,244360.0,0.131
Here's Your Perfect,5912784,Jamie Miller,64288.0,2021-04-30,85.0,0.558,0.454,-5.335,0.0551,0.499,0.146,113.12,158594.0,0.424
Take Me To Church,5907750,Hozier,4781906.0,2014-09-19,74.0,0.566,0.664,-5.303,0.0464,0.634,0.116,128.945,241693.0,0.437
Little Bit of Love,5848466,Tom Grennan,261225.0,2021-01-08,80.0,0.689,0.706,-4.48,0.0312,0.0833,0.105,106.52,226268.0,0.623
Ficha Limpa,5847975,Gusttavo Lima,12969190.0,2021-06-19,85.0,0.774,0.732,-4.227,0.0308,0.108,0.243,135.005,192725.0,0.734
Up,5845156,Cardi B,17353707.0,2021-02-05,83.0,0.868,0.795,-6.044,0.269,0.0012,0.0461,166.0,156945.0,0.819
Hawái,5769714,Maluma,26769304.0,2020-11-05,77.0,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482.0,0.609
New Normal,5768653,Khalid,14187747.0,2021-07-21,79.0,0.39,0.534,-9.575,0.0709,0.0807,0.184,92.047,198765.0,0.244
Bohemian Rhapsody - Remastered 2011,5756583,Queen,35888760.0,1975-11-21,74.0,0.392,0.402,-9.961,0.0536,0.288,0.243,143.883,354320.0,0.228
Bandido,5734402,"Myke Towers, Juhn",6150675.0,2020-12-10,85.0,0.713,0.617,-4.637,0.0887,0.122,0.0962,168.021,232853.0,0.682
Paradise (feat. Dermot Kennedy),5693848,MEDUZA,441674.0,2020-10-30,85.0,0.632,0.595,-7.644,0.0401,0.0689,0.209,124.114,167903.0,0.435
goosebumps,5691540,Travis Scott,17719446.0,2021-01-15,87.0,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803.0,0.808
Wasted Love (feat. Lagique),5690260,Ofenbach,432581.0,2021-01-08,85.0,0.734,0.855,-4.578,0.135,0.0821,0.0901,121.955,139563.0,0.54
KESI - Remix,5682062,"Camilo, Shawn Mendes",10561047.0,2021-07-14,83.0,0.871,0.815,-4.439,0.0477,0.127,0.094,122.959,176575.0,0.823
Shallow,5672480,"Lady Gaga, Bradley Cooper",18572085.0,2018-10-05,83.0,0.572,0.385,-6.362,0.0308,0.371,0.231,95.799,215733.0,0.323
Tell Em,5668576,"Cochise, $NOT",159647.0,2021-05-28,85.0,0.672,0.717,-7.476,0.226,0.103,0.398,157.905,180380.0,0.473
"Não, Não Vou",5652272,Mari Fernandez,15889.0,2021-04-29,84.0,0.631,0.861,-1.891,0.0424,0.427,0.215,149.95,173038.0,0.822
Counting Stars,5647568,OneRepublic,12169108.0,2014-01-01,74.0,0.664,0.705,-4.972,0.0382,0.0654,0.115,122.017,257840.0,0.477
Yellow,5628703,Coldplay,31151294.0,2000-07-10,85.0,0.429,0.661,-7.227,0.0281,0.00239,0.234,173.372,266773.0,0.285
Como Si No Importara,5627257,"Emilia, Duki",205590.0,2021-07-13,83.0,0.843,0.534,-6.658,0.142,0.467,0.0984,94.984,173053.0,0.528
Se For Amor,5618268,"João Gomes, Vitor Fernandes",409173.0,2021-06-01,81.0,0.667,0.899,-4.402,0.0322,0.423,0.332,147.962,239928.0,0.835
Wake Me Up,5607285,Avicii,20270895.0,2013-01-01,84.0,0.532,0.783,-5.697,0.0523,0.0038,0.161,124.08,247427.0,0.643
Baby Me Atende,5594505,"Matheus Fernandes, Dilsinho",77034.0,2021-02-26,83.0,0.65,0.792,-3.825,0.0393,0.607,0.92,154.027,225672.0,0.872
Ramenez la coupe à la maison,5576844,Vegedream,1250353.0,2021-08-13,0.0,0.808,0.66,-6.237,0.0395,0.0358,0.138,107.994,235556.0,0.804
What You Know Bout Love,5570735,Pop Smoke,6837946.0,2020-07-03,85.0,0.709,0.548,-8.493,0.353,0.65,0.133,83.995,160000.0,0.543
Runaway,5566150,AURORA,1687399.0,2014-01-01,77.0,0.521,0.277,-10.34,0.0356,0.634,0.103,115.01,248827.0,0.13
Red Light Green Light,5493760,DaBaby,7593046.0,2021-06-25,84.0,0.933,0.656,-5.85,0.322,0.129,0.161,119.987,159083.0,0.934
Ball If I Want To,5478055,DaBaby,7593046.0,2021-06-18,84.0,0.902,0.669,-5.049,0.457,0.161,0.0728,139.949,112547.0,0.628
Lucid Dreams,5477563,Juice WRLD,19085118.0,2018-12-10,85.0,0.511,0.566,-7.23,0.2,0.349,0.34,83.903,239836.0,0.218
Calling My Phone,5467753,"Lil Tjay, 6LACK",3553442.0,2021-04-02,85.0,0.907,0.393,-7.636,0.0539,0.451,0.135,104.949,205458.0,0.202
34+35,5453159,Ariana Grande,,,,,,,,,,,,
bad guy,5436286,Billie Eilish,1250353.0,2021-08-13,0.0,0.701,0.425,-10.965,0.375,0.328,0.1,135.128,194088.0,0.562
Cover Me In Sunshine,5434073,"P!nk, Willow Sage Hart",11477164.0,2021-02-12,83.0,0.476,0.594,-6.879,0.135,0.0599,0.0785,159.702,141050.0,0.314
For The Night (feat. Lil Baby & DaBaby),5431375,Pop Smoke,6837946.0,2020-07-03,84.0,0.823,0.586,-6.606,0.2,0.114,0.193,125.971,190476.0,0.347
"1 step forward, 3 steps back",5420003,Olivia Rodrigo,6266514.0,2021-05-21,85.0,0.473,0.203,-12.627,0.102,0.941,0.126,168.884,163587.0,0.419
WAP (feat. Megan Thee Stallion),5386268,Cardi B,17353707.0,2020-08-07,84.0,0.935,0.454,-7.509,0.375,0.0194,0.0824,133.073,187541.0,0.357
Mr. Brightside,5382191,The Killers,6118063.0,2004-06-15,75.0,0.356,0.924,-3.74,0.0808,0.00101,0.0953,148.017,222587.0,0.232
Every Breath You Take,5379704,The Police,4339245.0,1983-06-17,83.0,0.82,0.452,-9.796,0.0348,0.543,0.0714,117.401,253920.0,0.74
Dreams - 2004 Remaster,5378971,Fleetwood Mac,6930669.0,1977-02-04,84.0,0.828,0.492,-9.744,0.0276,0.0644,0.128,120.151,257800.0,0.789
Say You Won't Let Go,5375426,James Arthur,8441598.0,2016-10-28,84.0,0.358,0.557,-7.398,0.059,0.695,0.0902,85.043,211467.0,0.494
Wild Side (feat. Cardi B),5366242,Normani,1304510.0,2021-07-22,75.0,0.74,0.576,-6.744,0.146,0.0249,0.104,110.095,209476.0,0.315
Bout A Million (feat. 42 Dugg & 21 Savage),5315734,Pop Smoke,6837946.0,2021-07-16,81.0,0.716,0.67,-6.995,0.101,0.526,0.13,145.043,203586.0,0.411
